Current owner,Website,Email,Name energy installation,Boreholen name,End drilling,Province,Municipality,Well status,Longitude WGS84,Latitude WGS84,Start drilling,Drilltime (days),Borehole/sidetrack,Original owner,Drilling contractor,Kickoff depth AH (m),Boorgatdiepte AH t.o.v. NAP / MSL,Boorgatdiepte TVD t.o.v. NAP / MSL,Well name,Mining code,Full data public from
HVC Aardwarmte Polanen B.V.,https://www.aardwarmtepolanen.nl/,https://www.aardwarmtemaasdijk.nl/contact,,MONSTER-GT-02,5/13/23,Zuid-Holland,Westland,Closed-in,4.20161818,52.03214076,4/17/23,26,BRH,HVC Aardwarmte B.V.,KCA Deutag,,2582.15,2436.95,,,13-11-2023
HVC Aardwarmte Polanen B.V.,https://www.aardwarmtepolanen.nl/,https://www.aardwarmtemaasdijk.nl/contact,,MONSTER-GT-01,5/27/23,Zuid-Holland,Westland,Closed-in,4.20150361,52.03212566,4/7/23,50,BRH,HVC Aardwarmte B.V.,KCA Deutag,,3126.15,2357.51,,,27-11-2023
IPS Geothermal Energy B.V.,https://ips-supply.com/products-and-services/geothermal-energy/,https://ips-supply.com/contact/,,VANDENBOSCH-GT-101,6/17/24,Zuid-Holland,Lansingerland,,4.51634897,52.01281421,5/10/24,38,BRH,IPS Geothermal Energy B.V.,DrillTec,,,,VDB-GT-101,,17-06-2029
IPS Geothermal Energy B.V.,https://ips-supply.com/products-and-services/geothermal-energy/,https://ips-supply.com/contact/,,VANDENBOSCH-GT-06,9/1/24,Zuid-Holland,Lansingerland,,4.48750172,52.02408498,6/15/24,78,BRH,IPS Geothermal Energy B.V.,RED Drilling & Services GmbH,,,,VDB-GT-06,,1/9/29
IPS Geothermal Energy B.V.,https://ips-supply.com/products-and-services/geothermal-energy/,https://ips-supply.com/contact/,,VANDENBOSCH-GT-07,9/15/24,Zuid-Holland,Lansingerland,,4.48715208,52.0240823,7/6/24,71,BRH,IPS Geothermal Energy B.V.,RED Drilling & Services GmbH,,,,VDB-GT-07,,15-09-2029
IPS Geothermal Energy B.V.,https://ips-supply.com/products-and-services/geothermal-energy/,https://ips-supply.com/contact/,,VANDENBOSCH-GT-05,9/22/24,Zuid-Holland,Lansingerland,,4.48738517,52.02408408,6/25/24,89,BRH,IPS Geothermal Energy B.V.,RED Drilling & Services GmbH,,,,VDB-GT-05,,22-09-2029
IPS Geothermal Energy B.V.,https://ips-supply.com/products-and-services/geothermal-energy/,https://ips-supply.com/contact/,,VANDENBOSCH-GT-08,10/6/24,Zuid-Holland,Lansingerland,,4.48726862,52.02408319,6/30/24,98,BRH,IPS Geothermal Energy B.V.,RED Drilling & Services GmbH,,,,VDB-GT-08,,6/10/29
Mijnwater Energy B.V.,https://mijnwater.com/,info@mijnwater.com,Mijnwater energiecentrale Heerlen 1,HEERLERHEIDE-GT-01,5/24/06,Limburg,Heerlen,Producing/Injecting,5.93902379,50.91926922,3/6/06,79,BRH,Gemeente Heerlen,Daldrup & Söhne AG,,614.19,614.17,HEERLERHEIDE-GT-01,HLN-GT-01,24-05-2011
Mijnwater Energy B.V.,https://mijnwater.com/,info@mijnwater.com,Mijnwater energiecentrale Heerlen 2,HEERLERHEIDE-GT-02,6/2/06,Limburg,Heerlen,Producing/Injecting,5.95758057,50.91400231,3/18/06,76,BRH,Gemeente Heerlen,Daldrup en Shöne AG,,601.61,601.61,HEERLERHEIDE-GT-02,HLN-GT-02,2/6/11
Mijnwater Energy B.V.,https://mijnwater.com/,info@mijnwater.com,Mijnwater energiecentrale Heerlen 3,HEERLERHEIDE-GT-03,11/16/23,Limburg,Heerlen,,5.94777552,50.9168191,10/19/23,28,BRH,Mijnwater Energy B.V.,Tacrom Drilling s.r.i.,,,,HEERLERHEIDE-GT-03,HLN-GT-03,16-11-2028
Nappa B.V.,https://geothermie.nl/actueel/nieuws/nieuw-lid-van-geothermie-nederland-nappa/,https://www.linkedin.com/in/frank-verhoeven-6890b053/,Californië Geothermie 2,CALIFORNIE-GT-04,2/4/16,Limburg,Horst aan de Maas,Closed-in,6.08230948,51.43229985,12/2/15,64,BRH,Californie Lipzig Gielen Geothermie B.V.,KCA Deutag Drilling Ltd,,3006,2559.82,CALIFORNIE-GT-04,CAL-GT2,4/2/21
Nappa B.V.,https://geothermie.nl/actueel/nieuws/nieuw-lid-van-geothermie-nederland-nappa/,https://www.linkedin.com/in/frank-verhoeven-6890b053/,Californië Geothermie 2,CALIFORNIE-GT-05,4/5/16,Limburg,Horst aan de Maas,Closed-in,6.0823585,51.43238325,2/7/16,58,BRH,Californie Lipzig Gielen Geothermie B.V.,KCA Deutag Drilling Ltd,,2401.8,1979.92,CALIFORNIE-GT-05,CAL-GT2,5/4/21
Nature's Heat B.V.,https://www.naturesheat.nl/,paul@naturesheat.nl,Kwintsheul Geothermie,KWINTSHEUL-GT-01,10/28/16,Zuid-Holland,Westland,Producing/Injecting,4.26965255,52.00643923,3/7/16,235,BRH,Nature's Heat B.V.,Daldrup & Söhne AG,,2968.92,2434.24,KWINTSHEUL-GT-01,KHL-GT,28-10-2021
Nature's Heat B.V.,https://www.naturesheat.nl/,paul@naturesheat.nl,Kwintsheul Geothermie,KWINTSHEUL-GT-02,2/1/17,Zuid-Holland,Westland,Producing/Injecting,4.26957088,52.0064837,11/17/16,76,BRH,Nature's Heat B.V.,Daldrup & Söhne AG,,2796.92,2472.71,KWINTSHEUL-GT-02,KHL-GT,1/2/22
Trias Westland B.V.,https://www.triaswestland.nl/,https://www.triaswestland.nl/contact?_gl=1*vwc3vz*_up*MQ..*_ga*NDI0NTU1NDk0LjE3MzgwOTQ2Nzk.*_ga_41N785BE4N*MTczODA5NDY3OS4xLjAuMTczODA5NDY3OS4wLjAuMA..,Naaldwijk Geothermie,NAALDWIJK-GT-01,3/5/18,Zuid-Holland,Westland,Producing/Injecting,4.23917247,51.98991813,11/9/17,116,BRH,Trias Westland B.V.,KCA Deutag Drilling Ltd,,4438.58,4013.01,NAALDWIJK-GT-01,NLW-GT,6/3/19
Trias Westland B.V.,https://www.triaswestland.nl/,https://www.triaswestland.nl/contact?_gl=1*vwc3vz*_up*MQ..*_ga*NDI0NTU1NDk0LjE3MzgwOTQ2Nzk.*_ga_41N785BE4N*MTczODA5NDY3OS4xLjAuMTczODA5NDY3OS4wLjAuMA..,Naaldwijk Geothermie,NAALDWIJK-GT-02-SIDETRACK1,5/2/18,Zuid-Holland,Westland,Producing/Injecting,4.23927597,51.98985622,3/23/18,40,STR,Trias Westland B.V.,KCA Deutag Drilling Ltd,180,2671.58,2517.32,NAALDWIJK-GT-02,NLW-GT,2/5/23
Trias Westland B.V.,https://www.triaswestland.nl/,https://www.triaswestland.nl/contact?_gl=1*vwc3vz*_up*MQ..*_ga*NDI0NTU1NDk0LjE3MzgwOTQ2Nzk.*_ga_41N785BE4N*MTczODA5NDY3OS4xLjAuMTczODA5NDY3OS4wLjAuMA..,Naaldwijk Geothermie 2,NAALDWIJK-GT-04,7/9/20,Zuid-Holland,Westland,,4.23957247,51.98968329,6/12/20,27,BRH,Trias Westland B.V.,Drilltec Netherlands B.V.,,,,NAALDWIJK-GT-04,NLW-GT2,9/7/25
Trias Westland B.V.,https://www.triaswestland.nl/,https://www.triaswestland.nl/contact?_gl=1*vwc3vz*_up*MQ..*_ga*NDI0NTU1NDk0LjE3MzgwOTQ2Nzk.*_ga_41N785BE4N*MTczODA5NDY3OS4xLjAuMTczODA5NDY3OS4wLjAuMA..,Naaldwijk Geothermie 2,NAALDWIJK-GT-03-SIDETRACK1,8/28/20,Zuid-Holland,Westland,,4.2395,51.98972753,8/13/20,15,STR,Trias Westland B.V.,Drilltec Netherlands B.V.,,,,NAALDWIJK-GT-03,NLW-GT2,28-08-2025
Visser & Smit Hanab B.V.,https://www.vshanab.nl/,https://www.vshanab.nl/nl/contact,Zevenbergen Geothermie,ZEVENBERGEN-GT-01,11/24/17,Noord-Brabant,Moerdijk,Plugged back and sidetracked,4.62525292,51.63526257,10/3/17,52,BRH,Visser & Smit Hanab B.V.,Visser & Smit Hanab B.V.,,750.9,750.89,ZEVENBERGEN-GT-01,ZVB-GT,24-11-2022
Visser & Smit Hanab B.V.,https://www.vshanab.nl/,https://www.vshanab.nl/nl/contact,Zevenbergen Geothermie,ZEVENBERGEN-GT-02-SIDETRACK1,2/19/18,Noord-Brabant,Moerdijk,Closed-in,4.62525892,51.63525793,2/2/18,17,STR,Visser & Smit Hanab B.V.,Visser & Smit Hanab B.V.,1109,1523.9,704.91,ZEVENBERGEN-GT-02,ZVB-GT,19-02-2023
Visser & Smit Hanab B.V.,https://www.vshanab.nl/,https://www.vshanab.nl/nl/contact,Zevenbergen Geothermie,ZEVENBERGEN-GT-01-SIDETRACK2,3/22/18,Noord-Brabant,Moerdijk,Closed-in,4.62525292,51.63526257,1/11/18,70,STR,Visser & Smit Hanab B.V.,Visser & Smit Hanab B.V.,1137,1414.9,723.1,ZEVENBERGEN-GT-01,ZVB-GT,22-03-2023
Wayland Energy Bergschenhoek,https://waylandenergy.nl/,info@wayland.nl,Lansingerland  Geothermie,LANSINGERLAND-GT-01,10/22/17,Zuid-Holland,Lansingerland,Producing/Injecting,4.50808729,52.00269721,8/25/17,58,BRH,Warmtebedrijf Bergschenhoek B.V.,Innodrill Inc / Vanguard Drilling B.V.,,2705.9,2111.26,LANSINGERLAND-GT-01,LSL-GT,22-10-2022
Wayland Energy Bergschenhoek,https://waylandenergy.nl/,info@wayland.nl,Lansingerland  Geothermie,LANSINGERLAND-GT-02,12/9/17,Zuid-Holland,Lansingerland,Producing/Injecting,4.50811451,52.00276464,10/27/17,43,BRH,Warmtebedrijf Bergschenhoek B.V.,Innodrill Inc / Vanguard Drilling B.V.,,2856.9,1851.88,LANSINGERLAND-GT-02,LSL-GT,9/12/22
